,error_type,annotation,prediction,token,full_text,sample_id,0
0,FP,O,NRP,Pedestrians,Pedestrians must enter on 137 Avenue Teboulbi St. the first three months,,
1,FP,O,NRP,client_ip,Inject SELECT * FROM Users WHERE client_ip = ?%//!%20\|106.31.73.20|%20/,,
2,FP,O,NRP,client_ip,Inject SELECT * FROM Users WHERE client_ip = ?%//!%20\|86.121.97.248|%20/,,
3,FP,O,NRP,Pedestrians,Pedestrians must enter on 20 Rue Hsine Eloued St. the first three months,,
4,FP,O,NRP,Pedestrians,Pedestrians must enter on Sludevej 13 St. the first three months,,
5,FP,O,NRP,client_ip,Inject SELECT * FROM Users WHERE client_ip = ?%//!%20\|19.253.176.22|%20/,,
6,FP,O,NRP,Pedestrians,Pedestrians must enter on Hoge Wei 32 St. the first three months,,
7,FP,O,NRP,client_ip,Inject SELECT * FROM Users WHERE client_ip = ?%//!%20\|36.106.174.11|%20/,,
8,FP,O,NRP,client_ip,Inject SELECT * FROM Users WHERE client_ip = ?%//!%20\|16.244.11.141|%20/,,
9,FP,O,NRP,Southern,"The Symcat Orchestra was founded in 1983. Since then, it has grown from a volunteer community orchestra to a fully professional orchestra serving Southern Czech Republic",,
